NROASIGNACION;CODIGO;UND;DESCRIPCION;ESTADO;OBSERVACION
53140;U147121717244;UND;ESTABILIZADOR ESTABILIZADOR DE VOLTAJE FORZA DE 1000VA;BUENO;
53140;U147121717245;UND;ESTABILIZADOR ESTABILIZADOR DE VOLTAJE FORZA DE 1000VA;BUENO;
53140;U147121717246;UND;ESTABILIZADOR ESTABILIZADOR DE VOLTAJE FORZA DE 1000VA;BUENO;
53140;U147124117399;EQPO;CPU (EQPO. COMPUTACION) EQUIPO DE COMPUTACION CPU LENOVO, MODELO THINKCENTRE M910, PROCESADOR INTEL CORE I7-7700 DE SEPTIMA GENERACION, MEMORIA RAM DDR4 SDRAM DE 8 GB, DISCO DURO DE 1 TB SATA 7200 RPM, TARJETA DE VIDEO NVIDIA DE 4 GB PCLE;BUENO;
53140;U147124117400;EQPO;CPU (EQPO. COMPUTACION) EQUIPO DE COMPUTACION CPU LENOVO, MODELO THINKCENTRE M910, PROCESADOR INTEL CORE I7-7700 DE SEPTIMA GENERACION, MEMORIA RAM DDR4 SDRAM DE 8 GB, DISCO DURO DE 1 TB SATA 7200 RPM, TARJETA DE VIDEO NVIDIA DE 4 GB PCLE;BUENO;
53140;U147124117401;EQPO;CPU (EQPO. COMPUTACION) EQUIPO DE COMPUTACION CPU LENOVO, MODELO THINKCENTRE M910, PROCESADOR INTEL CORE I7-7700 DE SEPTIMA GENERACION, MEMORIA RAM DDR4 SDRAM DE 8 GB, DISCO DURO DE 1 TB SATA 7200 RPM, TARJETA DE VIDEO NVIDIA DE 4 GB PCLE;BUENO;
53140;U147124217321;UND;MONITOR PARA COMPUTADORA MONITOR LENOVO LED DE 19,5 PULGADAS MODELO E2054;BUENO;
53140;U147124217322;UND;MONITOR PARA COMPUTADORA MONITOR LENOVO LED DE 19,5 PULGADAS MODELO E2054;BUENO;
53140;U147124217323;UND;MONITOR PARA COMPUTADORA MONITOR LENOVO LED DE 19,5 PULGADAS MODELO E2054;BUENO;
53732;U147111642098;UND;MESA MESA PERSONAL METALICA MODELO WORKPRO-1;BUENO;
53732;U147111642099;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642100;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642101;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642102;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642103;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642104;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642105;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642106;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642107;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642108;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642109;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642110;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642111;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642112;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642113;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642114;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642115;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642116;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642117;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642118;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;Eqp. Docente
53732;U147111642119;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147111642120;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;
53732;U147112448703;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448704;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448705;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448706;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448707;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448708;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448709;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448710;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448711;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448712;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448713;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448714;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448715;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448716;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448717;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448718;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448719;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448720;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448721;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448722;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448723;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448724;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448725;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448726;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448727;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448728;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448729;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448730;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448731;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448732;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448733;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448734;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448735;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448736;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448737;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448738;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448739;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448740;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448741;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448742;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
53732;U147112448743;UND;SILLA SILLA METALICA MODELO AURA;BUENO;
